Experience (Years),Projects Count,Certifications Count,Education,Skills Count,Resume Pages,Job Role,Experience Level
6,4,4,PhD,13,1,Software Engineer,Experienced
4,7,1,Bachelor's,5,3,Project Manager,Intermediate
10,8,4,Bachelor's,6,3,Data Scientist,Experienced
5,5,1,Bachelor's,10,2,Software Engineer,Experienced
5,2,3,PhD,7,1,System Analyst,Experienced
11,10,4,Bachelor's,14,1,System Analyst,Experienced
0,10,3,Master's,14,3,Software Engineer,Experienced
13,3,3,Bachelor's,9,1,Software Engineer,Experienced
2,5,2,Bachelor's,9,1,Data Scientist,Intermediate
8,7,1,PhD,6,1,System Analyst,Experienced
11,2,1,Bachelor's,11,2,System Analyst,Experienced
4,2,3,Bachelor's,14,3,System Analyst,Intermediate
11,7,3,Master's,15,3,Data Scientist,Experienced
2,1,3,Master's,4,2,System Analyst,Intermediate
13,6,1,Master's,6,2,Software Engineer,Experienced
12,2,1,Bachelor's,14,2,AI Researcher,Experienced
9,4,3,Master's,11,2,Project Manager,Experienced
7,5,4,Bachelor's,4,3,Data Scientist,Experienced
4,8,1,Master's,11,1,Software Engineer,Intermediate
8,1,0,Bachelor's,9,1,AI Researcher,Experienced
7,1,3,Bachelor's,10,3,Project Manager,Experienced
10,3,0,Master's,10,3,System Analyst,Experienced
2,1,2,Master's,7,2,Software Engineer,Intermediate
6,10,0,PhD,14,3,AI Researcher,Experienced
8,8,3,PhD,4,1,Software Engineer,Experienced
6,7,4,Master's,5,2,Software Engineer,Experienced
10,3,0,PhD,5,1,Project Manager,Experienced
14,3,0,PhD,7,2,System Analyst,Experienced
6,7,2,Master's,11,3,System Analyst,Experienced
14,10,1,Bachelor's,14,1,Software Engineer,Experienced
2,7,0,Bachelor's,6,1,Data Scientist,Intermediate
3,5,4,Master's,13,1,Software Engineer,Intermediate
3,7,2,Bachelor's,5,2,Software Engineer,Intermediate
11,2,1,Master's,15,2,Project Manager,Experienced
8,5,3,Master's,14,2,Project Manager,Experienced
13,10,3,Bachelor's,11,3,Project Manager,Experienced
13,1,0,Master's,11,3,Data Scientist,Experienced
13,9,3,PhD,15,1,Project Manager,Experienced
2,7,2,PhD,11,2,Software Engineer,Intermediate
4,1,2,PhD,12,3,Data Scientist,Intermediate
10,6,0,PhD,6,1,Data Scientist,Experienced
13,1,1,Bachelor's,6,2,AI Researcher,Experienced
6,2,2,Master's,3,1,Project Manager,Experienced
0,8,0,PhD,13,1,System Analyst,Fresher
1,2,3,Bachelor's,8,3,Project Manager,Experienced
4,1,0,Bachelor's,5,2,Data Scientist,Intermediate
1,5,3,Bachelor's,12,2,Project Manager,Experienced
6,4,2,Master's,10,3,Project Manager,Experienced
0,6,4,Bachelor's,6,2,Data Scientist,Experienced
5,6,2,PhD,3,1,Project Manager,Experienced
11,6,4,Bachelor's,5,3,AI Researcher,Experienced
3,3,1,Master's,5,3,AI Researcher,Intermediate
2,4,3,Bachelor's,11,1,Project Manager,Intermediate
7,7,1,Bachelor's,10,1,Data Scientist,Experienced
10,9,0,PhD,4,3,System Analyst,Experienced
14,10,2,PhD,9,2,Project Manager,Experienced
8,4,3,PhD,3,2,System Analyst,Experienced
0,5,4,Master's,13,3,System Analyst,Experienced
8,9,2,Master's,5,3,Project Manager,Experienced
3,8,0,Bachelor's,10,3,Data Scientist,Intermediate
0,8,3,PhD,8,2,AI Researcher,Experienced
2,9,2,Bachelor's,11,1,Software Engineer,Intermediate
1,2,1,Bachelor's,8,3,Data Scientist,Experienced
12,9,3,PhD,3,1,Data Scientist,Experienced
13,5,3,PhD,10,3,AI Researcher,Experienced
2,1,0,PhD,14,3,Software Engineer,Intermediate
2,6,4,Master's,5,2,AI Researcher,Intermediate
7,2,4,PhD,3,3,AI Researcher,Experienced
0,5,3,PhD,15,3,Project Manager,Experienced
3,3,0,PhD,3,2,Software Engineer,Intermediate
12,5,2,PhD,14,1,Software Engineer,Experienced
4,8,4,PhD,3,2,System Analyst,Intermediate
4,3,3,Master's,3,3,Project Manager,Intermediate
12,5,0,Bachelor's,5,2,Project Manager,Experienced
8,10,1,Master's,5,2,Data Scientist,Experienced
7,2,1,Master's,13,2,Software Engineer,Experienced
1,10,0,PhD,10,1,Project Manager,Fresher
8,6,4,PhD,12,3,Data Scientist,Experienced
9,3,1,PhD,11,1,Software Engineer,Experienced
11,10,0,PhD,6,1,Project Manager,Experienced
3,1,3,PhD,5,3,System Analyst,Intermediate
14,2,1,PhD,9,3,Data Scientist,Experienced
5,3,0,Bachelor's,12,3,Project Manager,Experienced
13,6,1,Bachelor's,12,2,System Analyst,Experienced
0,4,1,PhD,8,3,Software Engineer,Experienced
5,5,0,PhD,10,1,Project Manager,Experienced
11,5,3,Master's,8,1,Software Engineer,Experienced
3,3,3,Bachelor's,15,2,Project Manager,Intermediate
11,10,2,Master's,3,3,Data Scientist,Experienced
2,10,1,Bachelor's,7,2,Data Scientist,Intermediate
4,7,0,PhD,14,1,Software Engineer,Intermediate
0,10,1,Bachelor's,3,3,AI Researcher,Experienced
1,6,0,Bachelor's,10,1,System Analyst,Fresher
4,1,4,Bachelor's,9,3,Data Scientist,Intermediate
4,6,4,PhD,9,3,AI Researcher,Intermediate
11,10,2,PhD,7,2,Data Scientist,Experienced
8,5,0,Master's,6,1,System Analyst,Experienced
11,10,1,PhD,7,3,AI Researcher,Experienced
3,1,4,Bachelor's,9,2,System Analyst,Intermediate
9,6,4,PhD,6,2,Data Scientist,Experienced
3,10,1,PhD,5,2,Project Manager,Intermediate
0,8,4,Master's,15,3,Project Manager,Experienced
1,1,3,Master's,13,2,System Analyst,Experienced
2,1,0,Master's,15,3,Software Engineer,Intermediate
10,5,3,Bachelor's,5,1,Data Scientist,Experienced
0,8,1,Bachelor's,13,1,Project Manager,Fresher
12,2,4,Bachelor's,5,2,System Analyst,Experienced
2,7,0,PhD,12,1,Data Scientist,Intermediate
9,10,1,PhD,4,3,Data Scientist,Experienced
8,7,3,Bachelor's,12,1,Software Engineer,Experienced
1,8,3,PhD,11,1,Software Engineer,Fresher
12,9,3,Bachelor's,12,1,Software Engineer,Experienced
8,8,2,Bachelor's,3,3,Project Manager,Experienced
3,2,0,Bachelor's,9,3,System Analyst,Intermediate
13,5,3,Bachelor's,3,3,Project Manager,Experienced
